נושא על,תגית מאוחדת,כמה אוחדו,תגית מקורית,תת נושא,הצעות חוק,השאלה המלאה
"משפט, ממשל ודמוקרטיה","פשיעה, אכיפה וענישה","5","עונשי מינימום לפשיעה","משפט פלילי, ענישה ואכיפה","229","האם יש להחמיר את הענישה ולקבוע עונשי מינימום כדי להילחם בפשיעה וליצור הרתעה?"
"משפט, ממשל ודמוקרטיה","פשיעה, אכיפה וענישה","5","החמרת ענישה פלילית","משפט פלילי, ענישה ואכיפה","180","האם יש להחמיר את האכיפה והענישה הפלילית כדי למנוע פשיעה וטרור?"
"משפט, ממשל ודמוקרטיה","פשיעה, אכיפה וענישה","5","שיקום נפגעי עבירה","משפט פלילי, ענישה ואכיפה","50","האם לתת עדיפות לזכויות וצרכי שיקום של נפגעי עבירה על פני זכויות הנאשם?"
"משפט, ממשל ודמוקרטיה","פשיעה, אכיפה וענישה","5","ענישת חסרי ישע","משפט פלילי, ענישה ואכיפה","26","האם להחמיר את האכיפה והענישה הפלילית כדי להילחם בפשיעה ובפוגעים בחסרי ישע?"
"משפט, ממשל ודמוקרטיה","פשיעה, אכיפה וענישה","5","סמכויות משטרה ופיקוח","אכיפה, תביעה ובתי סוהר","30","האם לתת למשטרה ולכוחות הביטחון סמכות רחבות וגמישות יותר או להגביר את הפיקוח עליהם?"
"עבודה, זכויות ושוויון","תנאי עבודה וזכויות עובדים","5","זכויות סוציאליות לעובדים","זכויות עובדים ותנאי עבודה","293","האם לתת עדיפות להרחבת ההגנות והזכויות הסוציאליות של עובדים או להפחתת הנטל הכלכלי על מעסיקים?"
"עבודה, זכויות ושוויון","תנאי עבודה וזכויות עובדים","5","תעסוקה ורשתות ביטחון","תעסוקה ואבטלה","60","האם על המדינה למקד את משאביה והמענקים הכלכליים בעידוד תעסוקה בענפים חיוניים ואוכלוסיות ספציפיות, או להרחיב רשתות ביטחון אוניברסליות לכלל הדורשים זאת?"
"עבודה, זכויות ושוויון","תנאי עבודה וזכויות עובדים","5","סוף שבוע ארוך","זכויות עובדים ותנאי עבודה","6","האם לאפשר גמישות בארגון שעות העבודה השבועיות כדי ליצור סוף שבוע ארוך?"
"עבודה, זכויות ושוויון","תנאי עבודה וזכויות עובדים","5","ארגון עובדים יציג","זכויות עובדים ותנאי עבודה","5","האם לאפשר לעובדים חופש בחירה מלא לעזוב או להימנע מהצטרפות לארגון עובדים יציג?"
"עבודה, זכויות ושוויון","תנאי עבודה וזכויות עובדים","5","פיטורי עובדים","זכויות עובדים ותנאי עבודה","5","האם לאפשר למעסיקים לפטר עובדים או להשעותם מיד במקרי חשד לעבירות חמורות או פגיעה בביטחון?"
"בריאות ורווחה","מערכת הבריאות והרפואה","5","סבסוד שירותי בריאות","מערכת הבריאות ושירותים רפואיים","139","האם על המדינה להרחיב את הסבסוד והמימון הממשלתי לשירותים רפואיים וטכנולוגיות?"
"בריאות ורווחה","מערכת הבריאות והרפואה","5","פיקוח מערכת הבריאות","מערכת הבריאות ושירותים רפואיים","79","האם יש להטיל חובות רגולטוריות ופיקוח מחמירים על גופים ובעלי מקצוע במערכת הבריאות כדי להבטיח בטיחות ושוויון?"
"בריאות ורווחה","מערכת הבריאות והרפואה","5","טיפולים רפואיים עצמאיים","מערכת הבריאות ושירותים רפואיים","45","האם לאפשר החלטות וטיפולים רפואיים עצמאיים המבוססים על שיקול דעת הפרט?"
"בריאות ורווחה","מערכת הבריאות והרפואה","5","רגולציה במערכת הבריאות","מערכת הבריאות ושירותים רפואיים","38","האם להקל בדרישות הרגולטוריות והבירוקרטיות כדי להגדיל את זמינות כוח האדם הרפואי והשירותים?"
"בריאות ורווחה","מערכת הבריאות והרפואה","5","זמני המתנה בבפואן","מערכת הבריאות ושירותים רפואיים","27","האם על המדינה לחייב את מערכת הבריאות בעמידה בלוחות זמנים קשיחים ומתן פיצוי על עיכובים?"
"כלכלה, מיסים ויוקר המחיה","מיסים והון שחור","3","הטבות מס ממוקדות","מיסוי וגבייה","261","האם יש לתת הטבות מס והקלות כלכליות ממוקדות לאוכלוסיות ועסקים מסוימים?"
"כלכלה, מיסים ויוקר המחיה","מיסים והון שחור","3","נטל המס","מיסוי וגבייה","28","האם לתת עדיפות להקלה על הנטל הבירוקרטי והכלכלי של אזרחים מול רשויות המס?"
"כלכלה, מיסים ויוקר המחיה","מיסים והון שחור","3","צמצום ההון השחור","מיסוי וגבייה","7","האם יש להחמיר את הפיקוח והמגבלות על עסקאות ותשלומים כדי לצמצם את ההון השחור?"
"בריאות ורווחה","רווחה ועוני","4","הגדלת קצבאות הרווחה","רווחה, עוני וסיוע חברתי","103","האם להרחיב ולהגדיל את התמיכה הכלכלית הישירה והקצבאות שמספקת המדינה לאוכלוסיות זכאיות?"
"בריאות ורווחה","רווחה ועוני","4","סיוע לאוכלוסיות במצוקה","רווחה, עוני וסיוע חברתי","70","האם על המדינה להרחיב ולהעמיק את הסיוע הכלכלי והמשפטי הישיר לאוכלוסיות במצוקה ובסיכון?"
"בריאות ורווחה","רווחה ועוני","4","הטבות לשירות צבאי","רווחה, עוני וסיוע חברתי","10","האם יש לתעדף זכויות והטבות סוציאליות על בסיס שירות צבאי או אזרחי?"
"בריאות ורווחה","רווחה ועוני","4","ביקורת שיפוטית ברווחה","רווחה, עוני וסיוע חברתי","5","האם לתת עדיפות לביקורת שיפוטית רחבה על החלטות רווחה ומנהל כדי להגן על זכויות הפרט?"
"כלכלה, מיסים ויוקר המחיה","יוקר המחיה וצרכנות","3","פיקוח מחירים","צרכנות, מחירים ותחרות","109","האם על המדינה להטיל פיקוח מחירים וכללים נוקשים על עסקים כדי להוריד את יוקר המחיה?"
"כלכלה, מיסים ויוקר המחיה","יוקר המחיה וצרכנות","3","הגנת צרכנים","צרכנות, מחירים ותחרות","48","האם להטיל חובות רגולציה ושקיפות מחמירים על עסקים כדי להגן באופן אקטיבי על צרכנים?"
"כלכלה, מיסים ויוקר המחיה","יוקר המחיה וצרכנות","3","תחרות חופשית ויבוא","סחר, תעשייה, יבוא ותיירות","20","האם יש לתת עדיפות להגנה על תעשייה וחקלאות מקומיות או לפתיחת השוק לתחרות חופשית והוזלת מחירים?"
"חינוך, תרבות ודת","בתי ספר וגיל הרך","5","פיקוח מוסדות חינוך","בתי ספר וגיל הרך","49","האם להטיל חובות רגולטוריות קפדניות וסנקציות על מוסדות חינוך ואנשי סגל?"
"חינוך, תרבות ודת","בתי ספר וגיל הרך","5","סבסוד מעונות יום","בתי ספר וגיל הרך","40","האם על המדינה להרחיב את חוקי החינוך והפיקוח לגיל הרך ולסבסד מעונות וימי לימוד ארוכים?"
"חינוך, תרבות ודת","בתי ספר וגיל הרך","5","תוכניות חברתיות בחינוך","בתי ספר וגיל הרך","34","האם על המדינה להרחיב את המענים והתוכניות החברתיות-כלכליות במוסדות החינוך?"
"חינוך, תרבות ודת","בתי ספר וגיל הרך","5","לימודי ליבה","בתי ספר וגיל הרך","30","האם לחייב את כל מוסדות החינוך הממומנים על ידי המדינה ללמד לימודי ליבה?"
"חינוך, תרבות ודת","בתי ספר וגיל הרך","5","תקצוב מוסדות חינוך","בתי ספר וגיל הרך","12","האם יש להתנות תקצוב מוסדות חינוך בעמידה ביעדים לאומיים ובהנפת סמלי המדינה?"
"ביטחון, חוץ ויחסי ישראל–פלסטינים","תנאי מילואים וצבא","5","הטבות לחיילי מילואים","צה״ל, שירות ביטחון ומילואים","65","האם יש להתנות מתן הטבות והקלות מטעם המדינה במילוי חובות שירות ביטחוני?"
"ביטחון, חוץ ויחסי ישראל–פלסטינים","תנאי מילואים וצבא","5","תגמול משרתי מילואים","צה״ל, שירות ביטחון ומילואים","49","האם יש לספק תגמול כלכלי מוגדל והגנה נרחבת על פרנסתם של משרתי המילואים ובני משפחותיהם?"
"ביטחון, חוץ ויחסי ישראל–פלסטינים","תנאי מילואים וצבא","5","זכויות נכי צה״ל","צה״ל, שירות ביטחון ומילואים","35","האם להרחיב משמעותית את מעטפת הזכויות, התמיכה וההכרה למשפחות חללים, נכי צהל ומשרתי מילואים?"
"ביטחון, חוץ ויחסי ישראל–פלסטינים","תנאי מילואים וצבא","5","חסינות משפטית לחיילים","צה״ל, שירות ביטחון ומילואים","9","האם להעניק לחיילים וללוחמים חסינות והגנה רבה יותר מפני חקירות והליכים משפטיים?"
"ביטחון, חוץ ויחסי ישראל–פלסטינים","תנאי מילואים וצבא","5","גיוס חובה לצה״ל","צה״ל, שירות ביטחון ומילואים","7","האם להרחיב את חובת השירות והגיוס לצה״ל על אוכלוסיות נוספות?"
"כלכלה, מיסים ויוקר המחיה","בנקים ואשראי","4","מערכת פיננסית","בנקאות, אשראי ושוק ההון","99","האם יש להגביר את הפיקוח והרגולציה על המערכת הפיננסית כדי להגן על הצרכנים?"
